time_sec	pmask_cmH20
33.4812	4.461868763
33.4852	4.46916008
33.4892	4.487463474
33.4932	4.472062111
33.4972	4.460454941
33.5012	4.480841637
33.5052	4.478312016
33.5092	4.469532013
33.5132	4.48865366
33.5172	4.487165928
33.5212	4.466853619
33.5252	4.481436729
33.5292	4.49200201
33.5332	4.472136497
33.5372	4.475038052
33.5412	4.48500824
33.5452	4.464398384
33.5492	4.462538242
33.5532	4.476675034
33.5572	4.45770216
33.5612	4.442821503
33.5652	4.455990791
33.5692	4.436125278
33.5732	4.41916132
33.5772	4.429057121
33.5812	4.421319008
33.5852	4.392822742
33.5892	4.397286892
33.5932	4.393418312
33.5972	4.36425209
33.6012	4.36484766
33.6052	4.368046761
33.6092	4.342898369
33.6132	4.336202145
33.6172	4.34981823
33.6212	4.331142902
33.6252	4.32184267
33.6292	4.337244034
33.6332	4.323851585
33.6372	4.308747768
33.6412	4.330622196
33.6452	4.333151817
33.6492	4.317527294
33.6532	4.33731842
33.6572	4.344832897
33.6612	4.328910828
33.6652	4.343568325
33.6692	4.363656998
33.6732	4.350338936
33.6772	4.355918884
33.6812	4.38076973
33.6852	4.369013786
33.6892	4.369906902
33.6932	4.392153263
33.6972	4.387912273
33.7012	4.377123833
33.7052	4.399295807
33.7092	4.403164864
33.7132	4.391632557
33.7172	4.412390709
33.7212	4.423625469
33.7252	4.406736374
33.7292	4.419831276
33.7332	4.433223724
33.7372	4.415143967
33.7412	4.418566227
33.7452	4.439473629
33.7492	4.425634384
33.7532	4.423625469
33.7572	4.440291882
33.7612	4.43032217
33.7652	4.416854858
33.7692	4.439622402
33.7732	4.437687874
33.7772	4.421765804
33.7812	4.435902119
33.7852	4.440143108
33.7892	4.422063351
33.7932	4.432033062
33.7972	4.440143108
33.8012	4.416706085
33.8052	4.412316322
33.8092	4.422584057
33.8132	4.402644157
33.8172	4.401081562
33.8212	4.417822361
33.8252	4.405694485
33.8292	4.389326096
33.8332	4.40346241
33.8372	4.389995575
33.8412	4.373180389
33.8452	4.38798666
33.8492	4.390069962
33.8532	4.370873928
33.8572	4.382481098
33.8612	4.392153263
33.8652	4.373106003
33.8692	4.377718925
33.8732	4.394013405
33.8772	4.377049446
33.8812	4.374222279
33.8852	4.393567085
33.8892	4.386722088
33.8932	4.379653454
33.8972	4.400560856
33.9012	4.394087791
33.9052	4.381811142
33.9092	4.396171093
33.9132	4.395576
33.9172	4.37273407
33.9212	4.386349678
33.9252	4.396617413
33.9292	4.378909588
33.9332	4.382108688
33.9372	4.396914959
33.9412	4.372213364
33.9452	4.369013786
33.9492	4.38396883
33.9532	4.370501995
33.9572	4.358969688
33.9612	4.375189304
33.9652	4.367674828
33.9692	4.349967003
33.9732	4.365219593
33.9772	4.361424923
33.9812	4.338955402
33.9852	4.348106861
33.9892	4.35346365
33.9932	4.335978985
33.9972	4.344237804
34.0012	4.362466335
34.0052	4.34200573
34.0092	4.339252949
34.0132	4.354579926
34.0172	4.342154503
34.0212	4.327943802
34.0252	4.351231575
34.0292	4.343419552
34.0332	4.330175877
34.0372	4.346693039
34.0412	4.345279694
34.0452	4.324967384
34.0492	4.335755825
34.0532	4.344907284
34.0572	4.32630682
34.0612	4.33374691
34.0652	4.347586155
34.0692	4.327571392
34.0732	4.328166962
34.0772	4.345279694
34.0812	4.332482338
34.0852	4.322884083
34.0892	4.345205307
34.0932	4.33397007
34.0972	4.320800781
34.1012	4.337839127
34.1052	4.340294361
34.1092	4.318717957
34.1132	4.328613281
34.1172	4.33054781
34.1212	4.308822155
34.1252	4.313286304
34.1292	4.326009274
34.1332	4.308227062
34.1372	4.306887627
34.1412	4.315369606
34.1452	4.296024799
34.1492	4.285608292
34.1532	4.302125931
34.1572	4.288733482
34.1612	4.269016743
34.1652	4.281292915
34.1692	4.274001598
34.1732	4.251234055
34.1772	4.265222073
34.1812	4.266040325
34.1852	4.239106655
34.1892	4.238362789
34.1932	4.246993065
34.1972	4.228541374
34.2012	4.227946281
34.2052	4.242082596
34.2092	4.221993923
34.2132	4.208973408
34.2172	4.216860294
34.2212	4.200788975
34.2252	4.185461998
34.2292	4.201235771
34.2332	4.19431591
34.2372	4.170879364
34.2412	4.174450397
34.2452	4.173855305
34.2492	4.147293568
34.2532	4.150790215
34.2572	4.158528328
34.2612	4.131297112
34.2652	4.121550083
34.2692	4.132487297
34.2732	4.111952305
34.2772	4.097071648
34.2812	4.105553627
34.2852	4.08643198
34.2892	4.061655998
34.2932	4.073932171
34.2972	4.06738472
34.3012	4.050197601
34.3052	4.058679581
34.3092	4.058010101
34.3132	4.031448364
34.3172	4.031820297
34.3212	4.040079117
34.3252	4.022817612
34.3292	4.022296906
34.3332	4.03643322
34.3372	4.019394875
34.3412	4.010094643
34.3452	4.025644779
34.3492	4.019766808
34.3532	4.003249645
34.3572	4.019543648
34.3612	4.015748978
34.3652	4.000720024
34.3692	4.016790867
34.3732	4.025049686
34.3772	4.004365444
34.3812	4.007862568
34.3852	4.012475491
34.3892	3.993353844
34.3932	3.994246721
34.3972	4.010540962
34.4012	3.993800402
34.4052	3.983458281
