time_sec	pepi_cmH20
76.03316	-3.922653198
76.03716	-0.1364654
76.04116	-3.215343475
76.04516	-0.947791338
76.04916	-2.716065884
76.05316	0.154779807
76.05716	-1.176626921
76.06116	6.270929337
76.06516	2.380725384
76.06916	0.425221801
76.07316	0.342008859
76.07716	-0.094858944
76.08116	1.236547709
76.08516	10.49398518
76.08916	2.547151089
76.09316	2.193496227
76.09716	2.526347876
76.10116	2.505544662
76.10516	2.443135023
76.10916	2.567954302
76.11316	3.608115911
76.11716	4.544260979
76.12116	5.45960331
76.12516	4.523458004
76.12916	3.982573986
76.13316	4.232212543
76.13716	4.232212543
76.14116	4.377835274
76.14516	4.648277283
76.14916	4.627474308
76.15316	5.397193432
76.15716	5.355587006
76.16116	6.478961468
76.16516	5.480406761
76.16916	6.187716484
76.17316	5.709241867
76.17716	6.354142189
76.18116	6.333338737
76.18516	7.914384365
76.18916	6.603780746
76.19316	6.811813354
76.19716	6.957435608
76.20116	7.207074642
76.20516	7.435910225
76.20916	7.373500347
76.21316	7.706352234
76.21716	7.872777939
76.22116	7.581532478
76.22516	7.955990791
76.22916	8.101613045
76.23316	7.727155209
76.23716	7.519123077
76.24116	7.789565086
76.24516	7.955990791
76.24916	7.831171513
76.25316	8.060007095
76.25716	8.122416496
76.26116	8.268039703
76.26516	8.351252556
76.26916	8.538481712
76.27316	8.600891113
76.27716	8.642497063
76.28116	8.933742523
76.28516	8.912939072
76.28916	8.975349426
76.29316	9.224987984
76.29716	9.308200836
76.30116	9.516233444
76.30516	9.661855698
76.30916	9.703461647
76.31316	9.869888306
76.31716	9.973903656
76.32116	10.11952686
76.32516	10.18193626
76.32916	10.34836197
76.33316	10.45237827
76.33716	10.49398518
76.34116	10.63960743
76.34516	10.72282028
76.34916	10.78522968
76.35316	10.84764004
76.35716	10.93085289
76.36116	10.91004944
76.36516	11.03486919
76.36916	11.159688
76.37316	11.13888454
76.37716	11.11808205
76.38116	11.3677206
76.38516	11.3261137
76.38916	11.24290085
76.39316	11.43013
76.39716	11.45093346
76.40116	11.3677206
76.40516	11.51334286
76.40916	11.57575321
76.41316	11.63816261
76.41716	11.63816261
76.42116	11.72137547
76.42516	11.67976856
76.42916	11.76298141
76.43316	11.86699772
76.43716	11.88780117
76.44116	11.78378487
76.44516	12.07503033
76.44916	11.95021057
76.45316	11.95021057
