x0000,y0000
21.479968,0.2791639136,
21.520674,0.1654393347,
21.56117,0.132638772,
21.601806,0.2700659473,
21.642769,0.2219424939,
21.683401,0.1137245789,
21.723862,0.1632845532,
21.764392,0.1194706628,
21.804841,0.07876923462,
21.845378,0.08906430176,
21.886036,0.07661445312,
21.92663,0.04165910889,
21.969768,0.1058237134,
22.010813,0.01771709229,
22.05152,0.007900865479,
22.092146,-0.003112462158,
22.13269,0.02082955444,
22.173134,0.05243301636,
22.214392,0.01580173096,
22.254959,-0.04453215088,
22.295334,-0.009576806641,
22.335868,-0.006464344482,
22.376364,-0.02873041992,
22.416879,-0.02633621826,
22.457298,-0.09050082275,
22.498019,-0.04261678955,
22.538498,-0.08307879761,
22.579009,-0.062009823,
22.619663,-0.01364694946,
22.660244,-0.02059013428,
22.70095,-0.004548983154,
22.741462,0.03711012573,
22.782068,0.005027823486,
22.822513,-0.05817910034,
22.863185,-0.03256114258,
22.903888,-0.04333505005,
22.944397,-0.008379705811,
22.98499,-0.0239420166,
23.025505,0.02250549561,
23.066051,-0.03447650391,
23.106558,-0.05339069702,
23.147132,0.00239420166,
23.190069,-0.03687070557,
23.231132,-0.06823474731,
23.27154,-0.009576806641,
23.312032,-0.04740519287,
23.352509,-0.03854664673,
23.393138,-0.0493205542,
23.433736,0.006224924316,
23.474216,-0.02825157959,
23.514599,-0.01963245361,
23.555133,0.004309562988,
23.595625,-0.03926490723,
23.636312,-0.03040636108,
23.676978,0.01628057129,
23.717465,-0.01484405029,
23.757948,0.01651999146,
23.798473,-0.03926490723,
23.838972,-0.000239420166,
23.879553,-0.02920926025,
23.92009,-0.02298433594,
23.961285,-0.0627280835,
24.00197,-0.009576806641,
24.042923,-0.06584054565,
24.083721,-0.1022324109,
24.12415,-0.351947644,
24.164764,-0.987847605,
24.207953,-0.7445967163,
24.249124,-1.388397543,
24.289663,-1.765723724,
24.330322,-1.926135236,
24.371016,-2.084870806,
24.411794,-2.074815159,
24.452649,-2.052309663,
24.493436,-2.041056915,
24.533945,-1.87418106,
24.574489,-1.916079589,
24.615089,-1.698925498,
24.655872,-1.613213079,
24.696534,-1.610100616,
24.737129,-1.574905852,
24.777803,-1.497812559,
24.818469,-1.45687171,
24.859319,-1.610818877,
24.900079,-1.624465826,
24.940671,-1.694137095,
24.981331,-1.786074438,
25.021833,-1.880166564,
25.063199,-1.820311522,
25.103984,-1.77362459,
25.144443,-1.739626926,
25.185033,-1.540429348,
25.22556,-1.473870542,
25.266641,-1.435323895,
25.307049,-1.35607582,
25.347764,-1.344823073,
25.388311,-1.325908879,
25.428976,-1.203565175,
25.469796,-1.218409225,
25.510345,-1.175792435,
25.552044,-1.097502041,
25.593865,-1.001255134,
25.643044,-1.073799445,
25.683646,-0.9232041602,
25.724143,-0.7800309009,
25.764985,-0.6411672046,
25.80543,-0.6081272217,
25.846334,-0.4704606262,
25.88702,-0.5212177014,
25.927646,-0.5367800122,
25.968469,-0.25953146,
26.009209,-0.1611297717,
26.049921,-0.1098938562,
26.090693,-0.1074996545,
26.131427,-0.04740519287,
26.171986,-0.06392518433,
26.212638,-0.04836287354,
26.253469,-0.08499415894,
26.293903,-0.008619125977,
26.334583,-0.02274491577,
26.375479,0.001915361328,
26.41628,-0.04692635254,
26.457093,-0.01221042847,
26.497776,-0.0119710083,
26.538325,-0.1230619653,
26.578951,-0.1292868896,
26.619753,-0.04740519287,
26.663674,0.2698265271,
26.705466,0.3368641736,
26.746216,0.5260061047,
26.787015,0.6404489441,
26.827569,0.5949591125,
26.868336,0.5966350537,
26.909015,0.7534552625,
26.951129,0.8504204297,
26.997669,0.8482656482,
27.038237,0.8173804468,
27.079102,0.6983886243,
27.119911,0.5669469531,
27.160597,0.5130774158,
27.201343,0.497515105,
27.242362,0.4764461304,
27.284705,0.4876988782,
27.334027,0.5930437512,
27.3763,0.5662286926,
27.420425,0.5923254907,
27.463158,0.5767631799,
27.506168,0.474530769,
27.547838,0.3579331482,
27.590743,0.237983645,
27.633673,0.1922543933,
27.676593,0.2612074011,
27.721893,0.3016694092,
27.764861,0.2738966699,
27.806538,0.2559401575,
27.849221,0.237983645,
27.89421,0.2504334937,
27.939521,0.2171540906,
27.987977,0.2346317627,
28.034552,0.1900996118,
28.080505,0.2406172668,
28.12358,0.1987187378,
28.164263,0.1596932507,
28.205418,0.08547299927,
28.250295,0.07134720947,
28.297013,0.1151610999,
28.343433,0.0612915625,
28.387464,0.06368576416,
28.433667,0.01771709229,
28.476686,0.05841852051,
28.51704,0,
28.557266,-0.02059013428,
28.597659,-0.004070142822,
28.640653,0.006943184814,
28.681475,0.009337386475,
28.721564,-0.01771709229,
28.762298,-0.01412578979,
28.803399,-0.03160346191,
28.846715,-0.1120486377,
28.890288,-0.2403778467,
28.931265,-0.4539406348,
28.974981,-0.666306322,
29.021198,-0.6124367847,
29.064855,-0.6943184814,
29.108459,-0.7089231116,
29.151983,-0.982101521,
29.195447,-1.208114158,
